player,rating
USA_p1,3
USA_p2,3
USA_p3,3.5
USA_p4,0
USA_p5,2
USA_p6,0.5
USA_p7,1.5
USA_p8,2.5
USA_p9,1
USA_p10,1
USA_p11,3.5
USA_p12,3
Japan_p1,1
Japan_p2,3
Japan_p3,1.5
Japan_p4,0.5
Japan_p5,2
Japan_p6,3
Japan_p7,2
Japan_p8,1.5
Japan_p9,3.5
Japan_p10,1.5
Japan_p11,3.5
Japan_p12,2.5
Great.Britain_p1,2.5
Great.Britain_p2,3.5
Great.Britain_p3,2
Great.Britain_p4,2
Great.Britain_p5,1.5
Great.Britain_p6,3
Great.Britain_p7,2.5
Great.Britain_p8,3
Great.Britain_p9,2
Great.Britain_p10,1
Great.Britain_p11,2
Great.Britain_p12,0
Canada_p1,3
Canada_p2,0
Canada_p3,2
Canada_p4,2
Canada_p5,3.5
Canada_p6,1.5
Canada_p7,3
Canada_p8,3.5
Canada_p9,2.5
Canada_p10,1
Canada_p11,2
Canada_p12,0.5
France_p1,2
France_p2,3.5
France_p3,0.5
France_p4,2
France_p5,2
France_p6,0.5
France_p7,1
France_p8,1.5
France_p9,2.5
France_p10,3
France_p11,3.5
France_p12,1
Denmark_p1,1.5
Denmark_p2,2
Denmark_p3,3
Denmark_p4,1.5
Denmark_p5,3
Denmark_p6,1
Denmark_p7,0.5
Denmark_p8,3.5
Denmark_p9,1
Denmark_p10,3
Denmark_p11,2.5
Denmark_p12,2
Sweden_p1,3
Sweden_p2,2.5
Sweden_p3,2
Sweden_p4,3.5
Sweden_p5,0
Sweden_p6,2
Sweden_p7,1
Sweden_p8,3
Sweden_p9,3.5
Sweden_p10,2
Sweden_p11,3
Sweden_p12,2
Brazil_p1,2
Brazil_p2,0.5
Brazil_p3,2
Brazil_p4,0.5
Brazil_p5,1.5
Brazil_p6,2
Brazil_p7,2
Brazil_p8,3.5
Brazil_p9,3.5
Brazil_p10,1
Brazil_p11,3.5
Brazil_p12,3
Columbia_p1,0.5
Columbia_p2,3
Columbia_p3,2
Columbia_p4,2
Columbia_p5,3
Columbia_p6,0.5
Columbia_p7,2
Columbia_p8,2
Columbia_p9,3
Columbia_p10,1
Columbia_p11,1
Columbia_p12,1
Poland_p1,3
Poland_p2,3
Poland_p3,2
Poland_p4,0.5
Poland_p5,3
Poland_p6,0.5
Poland_p7,3
Poland_p8,1.5
Poland_p9,3
Poland_p10,1.5
Poland_p11,2
Poland_p12,1.5
Argentina_p1,1.5
Argentina_p2,1
Argentina_p3,2
Argentina_p4,3.5
Argentina_p5,0
Argentina_p6,2
Argentina_p7,2
Argentina_p8,1
Argentina_p9,2
Argentina_p10,3
Argentina_p11,1
Argentina_p12,2
Chile_p1,1
Chile_p2,3
Chile_p3,1
Chile_p4,3
Chile_p5,2
Chile_p6,3
Chile_p7,2
Chile_p8,2
Chile_p9,0.5
Chile_p10,0.5
Chile_p11,0
Chile_p12,1
